workerid,education,gender,age,language
0,2,Female,34,english
1,3,Female,47,English
2,1,Female,27,English
3,3,Male,42,English
4,2,Female,33,English
5,2,Female,51,English
6,3,Male,38,english
7,3,Male,37,English
8,3,Male,57,English
9,3,Male,40,English
10,4,Female,29,english
11,2,Male,20,ENG
12,2,Male,39,english
13,2,Male,27,English
14,1,Male,45,English
15,3,Male,33,English
16,3,Male,28,English
17,3,Male,32,English
18,3,Female,31,English
19,3,Female,21,English
20,2,Male,55,english
21,4,Female,30,English
22,3,Male,33,English
23,3,Male,35,english
24,3,Male,38,English
25,2,Female,32,english
26,4,Female,59,English
27,3,Male,30,english
28,3,Male,37,english
29,3,Female,44,english
30,4,Female,30,English
31,4,Male,35,English
32,3,Female,45,english
33,3,Female,47,english
34,1,Male,31,English
35,3,Female,23,English
36,3,Female,48,English
37,4,Female,33,english
38,3,Male,59,ENGLISH
39,4,Male,32,english
40,2,Male,41,eng
41,2,Male,50,English
42,4,Female,39,english
43,2,Female,26,ENGLISH
44,4,Female,34,English
45,4,Male,32,English
46,4,Male,49,English
47,2,Male,54,
48,2,Male,31,english
49,2,Male,44,English
50,1,Female,49,english
51,2,Male,26,English
52,3,Male,40,English
53,3,Male,36,English
54,3,Male,34,English
55,1,Male,27,English
56,2,Male,29,English
57,3,Male,30,English
58,3,Male,34,English
59,4,Male,35,English
60,3,Male,36,English
61,3,Female,42,English
62,4,Female,30,English
63,3,Female,56,English
64,1,Female,18,English
65,2,Female,69,english
66,4,Female,35,English
67,3,Male,24,ENGLISH
68,3,Male,27,ENGLISH
69,4,Female,25,English
70,4,Male,52,English
71,3,Male,26,English
72,3,Male,28,English
73,4,Female,57,English
74,3,Male,35,english
75,3,Female,64,English
76,2,Male,34,English
77,3,Female,34,english
78,4,Male,52,English
79,3,Male,27,English
80,1,Female,56,English
81,3,Female,27,ENGLISH
82,3,Male,34,English
83,4,Male,36,english
84,2,Male,34,English
85,2,Female,45,English
86,3,Female,44,english
87,3,Female,35,english
88,3,Female,35,english
89,2,Female,23,English
90,3,Male,42,English
91,3,Male,41,English
92,2,Female,65,English
93,1,Male,28,english
94,4,Male,40,Enjoy
95,3,Male,40,English Language
96,3,Male,36,English
97,3,Female,31,english
98,3,Male,38,English
99,3,Female,52,English
100,4,Female,38,english
101,2,Female,27,English 
102,3,Male,29,english
103,3,Male,56,ENGLISH
104,3,Female,58,English
105,2,Male,30,English
106,1,Female,41,English
107,3,Female,55,English
108,3,Female,47,English 
109,2,Male,66,English
110,3,Female,44,english
111,1,Female,62,English
112,2,Male,50,English
113,4,Male,35,english
114,1,Female,31,English
115,3,Female,39,English
116,3,Female,25,english
117,3,Female,25,English
118,3,Male,27,english
119,3,Male,32,english
120,2,Male,28,English
121,2,Male,347,English
122,4,Male,28,English
123,2,Male,29,english
124,3,Female,49,English
125,4,Female,31,English
126,3,Female,34,english
127,4,Male,47,ENGLISH
128,2,Female,38,English
129,3,Male,43,English
130,1,Female,30,English
131,2,Male,70,english
132,3,Female,48,English
133,3,Male,31,English
134,4,Male,29,ENGLISH
135,2,Male,38,english
136,2,Male,29,English
137,3,Other,29,English
138,3,Male,37,English
139,2,Male,30,English
140,3,Male,44,English
141,3,Male,65,english
142,2,Male,32,English
143,3,Female,26,English
144,3,Male,26,English
145,2,Female,30,english
146,1,Female,33,English
147,4,Male,30,English
148,3,Male,55,english
149,2,Male,26,English
150,3,Female,40,English
151,3,Male,33,English
152,2,Male,32,English 
153,3,Male,28,english
154,2,Male,37,English
155,2,Male,35,TAMIL
156,3,Male,51,English
157,3,Male,33,English
158,2,Female,30,english
159,2,Male,28,english
160,3,Female,31,English
161,2,Male,45,English
162,3,Male,33,english
163,3,Female,30,English
164,2,Female,36,Gujrati 
165,3,Male,38,english
166,3,Male,27,English
167,3,Female,29,English
168,2,Female,53,english
169,3,Male,42,English
170,3,Female,47,English
171,3,Female,25,English
172,3,Female,27,English
173,2,Female,27,English
174,2,Female,36,English
175,3,Female,48,English
176,3,Male,33,English
177,3,Male,31,ENGLISH
178,2,Male,26,English
179,3,Male,30,English
180,2,Male,55,English
181,3,Male,30,English
182,2,Male,32,English
183,3,Male,36,English 
184,2,Male,35,English
185,3,Male,57,english
186,3,Female,45,English
187,2,Female,42,English
188,4,Female,51,english
189,2,Male,39,English
190,1,Female,47,english
191,3,Female,40,English
192,2,Male,29,Englsih
193,3,Male,42,english
194,4,Female,29,English
195,2,Male,33,english
196,3,Male,28,english 
197,3,Female,48,english
198,3,Female,50,English
199,4,Male,36,English
200,2,Female,37,English
201,3,Male,42,english
202,3,Male,30,english
203,3,Male,29,english
204,3,Male,28,english
205,4,Male,40,English
206,3,Male,28,english
207,3,Female,50,English
208,2,Male,23,English
209,2,Male,31,English
210,2,Male,32,English
211,3,Male,22,English 
212,2,Female,30,English
213,3,Male,38,English
214,4,Male,31,English
215,3,Female,35,Hindi
216,4,Male,40,English
217,2,Male,20,english